#;PTS;REB;ASI;ROB;PER;PTSCONTRA;TAP;TAPR;MAT;FP;FPR;+/-;VAL;Jornada;Titular;T2A;T2I;T2F;T3A;T3I;T3F;TLA;TLI;TLF;RD;RO;SEG
00;8;8;1;2;1;0;0;0;2;3;2;8;14;1;False;3;6;3;0;0;0;2;2;0;5;3;1001
00;11;7;0;0;1;2;0;0;1;4;7;25;16;2;False;3;6;3;0;0;0;5;6;1;4;3;1303
00;10;3;1;1;3;2;0;0;0;3;2;-1;11;3;True;3;3;0;0;0;0;4;4;0;2;1;1246
00;4;0;1;0;2;0;0;0;1;4;1;-9;0;4;True;2;2;0;0;0;0;0;0;0;0;0;815
00;20;6;0;1;4;0;0;1;3;5;5;3;20;5;True;9;10;1;0;0;0;2;3;1;4;2;1282
00;5;4;0;0;1;0;0;0;1;2;4;-5;7;6;True;2;4;2;0;0;0;1;2;1;2;2;656
00;2;3;0;1;1;0;0;1;0;2;4;-6;4;7;True;1;3;2;0;0;0;0;0;0;0;3;772
00;7;3;2;0;1;0;1;0;0;3;3;19;8;8;True;3;4;1;0;0;0;1;4;3;2;1;741
00;19;8;3;1;1;0;0;0;2;3;3;29;25;9;True;9;11;2;0;0;0;1;4;3;6;2;1286
00;9;3;0;2;2;2;1;0;1;4;4;8;8;11;False;3;6;3;0;0;0;3;5;2;3;0;1267
00;13;5;2;1;0;0;0;0;0;4;5;3;21;12;False;5;6;1;0;0;0;3;3;0;3;2;828
00;12;5;1;0;1;2;0;0;1;4;4;-2;17;13;False;5;5;0;0;0;0;2;2;0;4;1;1065
00;8;2;1;0;2;0;0;0;0;5;3;-9;7;14;True;3;3;0;0;0;0;2;2;0;1;1;824
00;16;9;0;0;1;0;1;0;0;4;6;-14;20;15;False;5;10;5;0;0;0;6;8;2;5;4;1197
00;15;6;2;1;4;4;0;0;2;4;5;8;15;16;True;6;9;3;0;0;0;3;6;3;6;0;1177
00;5;2;0;1;0;0;0;0;0;3;5;-4;5;17;False;2;4;2;0;0;0;1;4;3;2;0;1014
00;23;5;0;0;2;0;0;0;1;5;6;-3;25;18;True;7;8;1;0;0;0;9;10;1;2;3;1350
00;24;5;3;3;1;4;0;0;3;3;4;16;31;19;False;9;13;4;0;0;0;6;6;0;2;3;1161
00;21;7;1;0;2;0;0;0;0;3;8;8;25;20;True;8;12;4;0;0;0;5;8;3;4;3;1274
00;9;10;0;2;1;2;0;1;1;5;3;-6;13;21;True;4;7;3;0;0;0;1;2;1;7;3;1088
01;11;4;6;0;4;0;0;1;0;1;2;10;12;1;False;1;2;1;3;7;4;0;0;0;3;1;1189
01;16;3;1;0;2;0;0;0;0;2;4;11;13;2;False;1;2;1;3;9;6;5;5;0;3;0;1180
01;5;1;0;1;2;0;0;0;0;3;2;-14;-2;3;False;0;1;1;1;6;5;2;2;0;1;0;977
01;11;2;2;1;1;3;0;0;0;1;3;-3;9;4;False;1;6;5;2;4;2;3;4;1;2;0;944
01;19;1;3;0;3;0;0;0;0;2;5;8;13;5;False;3;7;4;1;4;3;10;13;3;1;0;1147
01;4;1;1;1;0;0;0;1;0;1;3;10;-1;6;False;1;6;5;0;4;4;2;2;0;0;1;969
01;10;2;0;0;1;0;0;0;0;0;1;-6;7;7;False;3;4;1;1;3;2;1;3;2;0;2;651
01;16;2;1;0;3;3;0;1;0;3;3;21;10;8;False;2;3;1;3;6;3;3;4;1;0;2;1120
01;17;3;6;0;1;0;0;0;0;2;3;16;22;9;False;2;3;1;3;5;2;4;5;1;3;0;1179
01;5;1;1;0;2;0;0;0;0;2;1;2;0;10;False;1;2;1;1;4;3;0;0;0;1;0;805
01;30;2;3;0;5;4;0;0;0;0;2;24;25;11;False;10;12;2;2;7;5;4;4;0;1;1;1471
01;11;0;2;1;1;0;0;2;0;4;5;-3;1;12;False;1;4;3;1;7;6;6;8;2;0;0;911
01;13;2;3;1;2;0;0;3;0;1;1;-5;6;13;False;2;6;4;3;7;4;0;0;0;2;0;1230
01;20;1;0;0;2;0;0;0;0;0;2;1;13;14;False;3;5;2;4;10;6;2;2;0;1;0;1205
