#,Jugador,# - Jugador,Apellido,Posición,Altura,Pais_Nacim,Provincia,Nacimiento,URL_Bandera,URL_Provincia,URL_Foto_Cuerpo,URL_Foto_Retrato
00,Devontae Cacok,00 - Devontae Cacok,Cacok,Pívot,201,USA,,08/10/1996,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/USA.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/00.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/00.jpg?raw=true
01,Michael Forrest,01 - Michael Forrest,Forrest,Base,183,USA,,02/12/1999,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/USA.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/01.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/01.jpg?raw=true
02,Sander Raieste,02 - Sander Raieste,Raieste,Alero,201,Estonia,,31/03/1999,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Estonia.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/02.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/02.jpg?raw=true
05,David DeJulius,05 - David DeJulius,DeJulius,Base,183,USA,,09/08/1999,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/USA.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/05.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/05.jpg?raw=true
06,Dani García,06 - Dani García,García,Base,185,Spain,Catalunya,30/01/1998,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Spain.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Catalunya.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/06.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/06.jpg?raw=true
08,Howard Sant-Roos,08 - Howard Sant-Roos,Sant-Roos,Alero,201,Cuba,,13/02/1991,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Cuba.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/08.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/08.jpg?raw=true
12,Jonah Radebaugh,12 - Jonah Radebaugh,Radebaugh,Base,191,USA,,17/06/1997,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/USA.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/12.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/12.jpg?raw=true
13,Will Falk,13 - Will Falk,Falk,Escolta,203,Sweden,,25/06/2003,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Sweden.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/13.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/13.jpg?raw=true
15,Emanuel Cate,15 - Emanuel Cate,Cate,Pívot,207,Romania,,30/07/1997,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Romania.png?raw=true,,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/15.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/15.jpg?raw=true
16,Rubén López de la Torre,16 - Rubén López de la Torre,de la Torre,Ala-Pívot,201,Spain,Madrid,13/03/2002,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Spain.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/banderas/Madrid.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/jugadores/16.png?raw=true,https://github.com/DJordanV/imagenes_acb/blob/main/retratos/16.jpg?raw=true
