D,Nombre,Min,P,T2,T2 %,T3,T3 %,T1,T1 %,REBT,REBD+O,ASI,BR,BP,CONTRA,TAPF,TAPC,MAT,FPF,FPC,#ERROR!,VAL
*0,D. Cacok,20:04,10,5/10,50%,0/0,0%,0/0,0%,5,3+2,1,1,1,4,0,1,3,4,0,6,6
1,M. Forrest,15:28,14,4/4,100%,2/4,50%,0/0,0%,1,1+0,0,2,3,7,0,0,0,3,1,-3,10
*5,D. DeJulius,24:37:00,17,4/5,80%,3/6,50%,0/1,0%,1,1+0,5,1,1,2,0,0,0,1,3,10,20
8,H. Sant-Roos,25:03:00,14,2/3,67%,2/3,67%,4/5,80%,7,7+0,3,3,0,2,0,0,0,2,3,7,25
12,J. Radebaugh,17:40,2,1/2,50%,0/3,0%,0/0,0%,2,2+0,2,0,1,0,0,1,0,1,0,6,-1
*13,W. Falk,18:10,6,2/2,100%,0/1,0%,2/3,67%,7,5+2,0,1,0,4,2,0,1,5,4,8,13
15,E. Cate,19:56,4,0/1,0%,0/0,0%,4/4,100%,4,3+1,0,2,2,0,1,0,0,1,4,5,11
16,R. López,,,,,,,,,,,,,,,,,,,,,
21,M. Diagné,,,,,,,,,,,,,,,,,,,,,
30,K. Martin,22:05,13,2/5,40%,3/5,60%,0/0,0%,1,1+0,0,0,2,0,0,0,0,1,0,6,6
*31,D. Ennis,22:20,1,0/2,0%,0/2,0%,1/2,50%,0,0+0,4,1,1,0,0,1,0,1,2,5,0
*99,T. Nakic,14:37,6,1/1,100%,1/2,50%,1/2,50%,1,1+0,0,0,1,0,0,0,0,3,2,5,3
,Equipo,,,,,,,,,1,0+1,,1,2,,,,,0,0,,0
