#,Jugador,MIN,TCA,TCI,%TC,T3A,T3I,%T3,TLA,TLI,%TL,RO,RD,REB,ASI,PER,ROB,TAP,TAPR,FP,FPR,PTS,#ERROR!,VAL
0,Devontae Cacok,20:46,3,3,100,0,0,0,4,4,100,1,2,3,1,3,1,0,0,3,2,10,-1,11
2,Sander Raieste,25:56:00,2,8,25,0,3,0,1,2,50,0,4,4,0,1,0,0,0,3,1,5,4,-1
5,David DeJulius,27:16:00,11,16,"68,75",2,4,50,2,3,"66,67",1,1,2,1,1,1,0,0,0,4,26,-6,27
31,Dylan Ennis,14:33,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,2,1,0,2,3
99,Toni Nakic,21:59,2,3,"66,67",1,2,50,0,0,0,2,0,2,0,0,0,0,0,0,1,5,-9,7
1,Michael Forrest,16:17,1,7,"14,29",1,6,"16,67",2,2,100,0,1,1,0,2,1,0,0,3,2,5,-14,-2
8,Howard Sant-Roos,21:45,4,11,"36,36",0,4,0,5,5,100,0,4,4,3,1,2,0,0,3,4,13,-14,15
12,Jonah Radebaugh,21:37,4,8,50,0,2,0,2,3,"66,67",1,1,2,0,1,3,0,1,3,2,10,-14,8
13,Wilhelm Falk,8:42,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-11,-3
15,Emanuel Cate,14:36,3,4,75,0,0,0,0,1,0,4,1,5,0,0,0,0,0,3,2,6,-4,8
21,Moussa Diagne,4:38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-11,1
24,Zach Hicks,1:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0
,Equipo,,,,,,,,,,,0,2,2,,1,,,,0,,,,1
,Totales,200,30,61,"49,18",4,22,"18,18",16,20,80,9,17,26,9,10,8,0,1,22,19,80,-80,75
